2020-11-30 0:0:0;0;0;1;20;3;1000
2020-11-30 0:0:1;0;0;1;19.996;3.0;1001.7
2020-11-30 0:0:2;1;0;1;20.013;3.01;1003.4
2020-11-30 0:0:3;0;0;1;20.014;3.0;1003.0
2020-11-30 0:0:4;0;0;1;20.011;3.0;1004.1
2020-11-30 0:0:5;0;0;1;20.011;3.01;1005.2
2020-11-30 0:0:6;0;0;1;20.01;2.99;1005.4
2020-11-30 0:0:7;0;0;1;20.014;2.95;1005.3
2020-11-30 0:0:8;0;0;1;20.01;2.96;1004.6
2020-11-30 0:0:9;0;0;1;20.009;2.98;1003.6
2020-11-30 0:0:10;0;0;1;20.008;3.02;1003.2
2020-11-30 0:0:11;0;0;1;20.009;3.01;1002.8
2020-11-30 0:0:12;0;0;1;20.008;3.01;1003.0
2020-11-30 0:0:13;0;0;1;20.006;3.03;1004.1
2020-11-30 0:0:14;0;0;1;20.007;3.0;1004.6
2020-11-30 0:0:15;0;0;1;20.011;3.0;1005.4
2020-11-30 0:0:16;0;0;1;20.011;3.0;1006.2
2020-11-30 0:0:17;0;0;1;20.007;3.02;1006.1
2020-11-30 0:0:18;0;0;1;20.011;3.02;1005.1
2020-11-30 0:0:19;0;0;1;20.013;2.98;1006.8
2020-11-30 0:0:20;0;0;1;20.01;3.0;1007.6
2020-11-30 0:0:21;0;0;1;20.014;3.02;1008.4
2020-11-30 0:0:22;0;0;1;20.016;3.02;1008.3
2020-11-30 0:0:23;0;0;1;20.012;3.01;1009.7
2020-11-30 0:0:24;0;0;1;20.009;2.97;1011.4
2020-11-30 0:0:25;0;0;1;20.005;2.99;1011.9
2020-11-30 0:0:26;0;0;1;20.001;2.97;1011.8
2020-11-30 0:0:27;0;0;1;20.002;2.99;1012.0
2020-11-30 0:0:28;0;0;1;20.001;3.02;1012.5
2020-11-30 0:0:29;0;0;1;20.004;2.99;1013.6
2020-11-30 0:0:30;0;0;1;20.009;2.97;1013.8
2020-11-30 0:0:31;0;0;1;20.012;2.96;1015.5
2020-11-30 0:0:32;0;0;1;20.009;3.03;1014.5
2020-11-30 0:0:33;0;0;1;20.011;2.95;1014.4
2020-11-30 0:0:34;0;0;1;20.012;3.02;1015.8
2020-11-30 0:0:35;0;0;1;20.011;2.95;1017.5
2020-11-30 0:0:36;0;0;1;20.014;2.96;1016.8
2020-11-30 0:0:37;0;0;1;20.01;2.96;1017.3
2020-11-30 0:0:38;0;0;1;20.01;3.04;1017.5
2020-11-30 0:0:39;0;0;1;20.015;3.04;1017.7
2020-11-30 0:0:40;0;0;1;20.017;2.95;1016.7
2020-11-30 0:0:41;0;0;1;20.015;2.97;1016.3
2020-11-30 0:0:42;0;0;1;20.016;3.04;1017.4
2020-11-30 0:0:43;0;0;1;20.017;3.0;1017.9
2020-11-30 0:0:44;0;0;1;20.013;3.02;1017.5
2020-11-30 0:0:45;0;0;1;20.014;3.03;1017.7
2020-11-30 0:0:46;0;0;1;20.017;2.95;1017.0
2020-11-30 0:0:47;0;0;1;20.022;2.95;1018.7
2020-11-30 0:0:48;0;0;1;20.027;3.01;1020.1
2020-11-30 0:0:49;0;0;1;20.029;3.02;1020.9
2020-11-30 0:0:50;0;0;1;20.028;3.03;1022.3
2020-11-30 0:0:51;0;0;1;20.025;3.0;1021.6
2020-11-30 0:0:52;0;0;1;20.021;2.98;1022.1
2020-11-30 0:0:53;0;0;1;20.024;2.98;1022.9
2020-11-30 0:0:54;0;0;1;20.022;2.98;1024.6
2020-11-30 0:0:55;0;0;1;20.027;3.02;1025.1
2020-11-30 0:0:56;0;0;1;20.032;3.01;1025.3
2020-11-30 0:0:57;0;0;1;20.036;2.96;1026.7
2020-11-30 0:0:58;0;0;1;20.035;3.01;1025.7
2020-11-30 0:0:59;0;0;1;20.035;3.02;1025.6
2020-11-30 0:1:0;0;0;1;20.031;2.96;1025.5
2020-11-30 0:1:1;0;0;1;20.034;3.02;1025.1
2020-11-30 0:1:2;0;0;1;20.03;2.96;1025.3
2020-11-30 0:1:3;0;0;1;20.026;2.98;1024.6
2020-11-30 0:1:4;0;0;1;20.03;2.99;1025.4
2020-11-30 0:1:5;0;0;1;20.029;2.97;1025.6
2020-11-30 0:1:6;0;0;1;20.033;2.97;1025.2
2020-11-30 0:1:7;0;0;1;20.03;3.04;1024.8
2020-11-30 0:1:8;0;0;1;20.032;3.01;1023.8
2020-11-30 0:1:9;0;0;1;20.035;3.02;1023.4
2020-11-30 0:1:10;0;0;1;20.031;3.02;1023.0
